year,county,Hospitality,Admin Support and Waste Mangmt.,"Ag., Forestry, Fishing, Hunting",Arts and Recreation,Construction,Education,Finance and Insurance,"Health Care, Social Assistance",Information,Management,Manufacturing,Mining,Other Services,"Professional, Scientific, and Technical Services",Public Administration,Real Estate Rental and Leasing,Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
1/1/09,Garfield,320371,849596,23627,0,2454551,3238,36087,0,886460,,177812,0,412225,264177,44686,483062,3418337.5,18470,0,2873114
1/1/09,Grant,102080049,19502904,5455551,7569982,208663632,1745807,9026456,2533770,47726298,22079,8476958.333,363930,39596441,21753557,59734,34530945,239987298.5,1569703.5,8016556,202811169
1/1/09,Grays Harbor,97785796,10795135,2504728,5631661,136180299,439428,3905300,647868,37778635,412412,6796430.333,1314460,25049116,7488067,185521,15569223,181947367.5,2349795.5,165220,53030661
1/1/09,Island,72614109,22229483,797914,11682562,181426743,1326889,4320431,1231356,40771607,13173,5579530.667,786990,20518221,11566316,285006,11990942,146698388,821473,2126943,49873763
1/1/09,Jefferson,45408890,5511506,1315787,5390534,81944950,528092,1945701,634210,17690588,0,8892522.667,690504,14969120,4613272,280807,4550865,58039133.5,676379.5,73521,22458305
1/1/09,King,4701465082,902663700,30611893,453835390,7575354120,71453881,338870681,155964219,1903544957,4051350,273260450,16717267,639682103,977209464,14293698,1212171615,7740122207,96510409.5,17298437,3000493593
1/1/09,Kitsap,289288141,50859556,2021285,26775821,487692385,3174908,18762288,12328434,158989892,204554,14874198,1334121,49498400.5,39021189,5357399,61077590,807722407.5,2797223.5,1973569,149790741
1/1/09,Kittitas,79803285,8389245,2095508,17434214,169503041,11621000,4758162,505314,23818301,25185,5285669,453016,17612653,6228892,828495,13106926,106215711.5,1951028.5,1053915,40838857
1/1/09,Klickitat,13054194,7425691,1545069,1817987,72164286,281152,2048093,211766,10480017,,2161134,6453717,5057380,3068336,110443,8728010,24889244.5,1303650,91278,31000931
1/1/09,Lewis,87421301,12122726,2933714,11020893,202247534,1725026,3187939,559975,45048677,47750,13573369.67,8858563,33336524,12147870,388650,21329148,225430282,2572369.5,1520028,88361188
1/1/09,Lincoln,5084860,2016498,343380,595182,24000685,20622,375327,321994,5758444,0,587029.3333,256360,5734599,1137434,31744,1202573,13722967.5,178397,237994,11321771
1/1/09,Mason,46709097,10744015,976374,4124025,112596444,256845,3392700,1673023,27885929,92202,3713333.333,539060,15872682,5380107,126764,8611917,104291517.5,1254966,110726,26958945
1/1/09,Okanogan,48070319,5175726,2477234,4032387,81852442,383960,2732241,618694,19974093,2033,2771405.667,216885,18289254,4695535,60215,6392819,111580481.5,2880653,1504765,46176689
1/1/09,Pacific,34230531,2357355,148272,2946031,51366815,222011,1424899,347399,11391892,19749,1476606.333,1196439,6857653,1892055,162719,3381096,31947154.5,1138181.5,62009,11653812
1/1/09,Pend Oreille,7016635,1852519,613795,181322,19226282,67038,773329,196055,5478287,0,2920686.667,218843,2935367,1809573,15838,1830531,22267747.5,286165.5,392316,12425871
1/1/09,Pierce,1015928425,188080132,8775373,106102502,1720737602,17160655,103640090,27328983,465944302,2465790,63380628,3648835,181063419,132504720,2756676,272620919,2570907489,18989742.5,5141415,629449005
1/1/09,San Juan,48864887,11604018,2088456,6192561,122979053,293645,798343,265625,10305555,0,1802584.667,70513,9010215,4322076,2170,6968647,46315862.5,2050799.5,409076,12133520
1/1/09,Skagit,176301221,31577138,2435326,19033941,273941498,3912869,9042785,6482757,66832593,110540,18637088.33,450974,29837658,19316960,742542,41368503,531310579,9672466,507582,156475701
1/1/09,Skamania,19991924,801475,388964,260644,26811959,42149,523240,21756,4902804,0,336055.3333,0,1374484,345194,6167,1092200,7674078.5,202709,55489,3812205
1/1/09,Snohomish,917244951,173383255,2953404,80092479,1630977651,17550066,74909855,26962744,440232701,676959,56986192.33,4459598,153407701.5,108997600,3145062,194187911,2434626139,13710096,4704155,559599643
1/1/09,Spokane,713111076,143006833,2334633,41637225,913272931,18130481,57107505,25699073,337719692,4062417,50255257,1277223,109463107.5,130272117,7548267,164035029,1683128813,10322917.5,3706791,514536308
1/1/09,Stevens,24201700,5067138,1258924,6398684,61527829,254648,1993710,1074365,18163272,0,2470714,220656,6790450.5,2297895,73897,3336898,86495413.5,292799.5,195229,19858534
1/1/09,Thurston,265532507,91660143,2016726,20913507,512459994,6561451,20876884,6786182,148076708,35703,16788093.67,3275057,92873648,45951143,4354561,58713747,774243563.5,2630667,523763,222724604
1/1/10,Adams,18085935,2234946,438597,718710,38844055,414734,954191,84455,10038613,0,2187138.333,249534,7173484,3097215,74351,3670355,34879909,235208,118512,37866379
1/1/10,Asotin,24473467,3416907,39604,1910430,22227262,119279,883838,1188036,7319210,0,1260989.667,0,4485451,1257414,19842,10294338,76524950,516057,0,13884260
1/1/10,Benton,285709848,46627476,1617418,24748645,344301335,3699079,18294678,5934196,116007087,579480,16269787,410371,37110811.5,58495663,122719,66903868,710256501,1426232.5,2690597,209216959
1/1/10,Chelan,172185794,19542764,1667665,14267809,235484834,2437481,10222102,2800702,46436246,31168,10657492.33,596129,34200560,29013749,135730,30602324,289036716.5,2030802,2684727,102578372
1/1/10,Clallam,103948648,12555417,2968009,7924070,141039102,1912814,4258577,1965179,40814762,0,5576353,875906,34848565,12202093,108458,14372920,228443439.5,1252347.5,154425,60637684
1/1/10,Clark,466858146,80147900,27389706,44455344,574318931,10914468,33475845,22623942,255448032,359832,20041856.33,1643399,141180705,49953721,930546,91384568,948196197,6667461,6608425,258722279
1/1/10,Columbia,2740866,574872,65138,829050,6120101,25753,152675,128512,2664347,,355135.6667,272773,1956040,1485538,0,1118513,5500527.5,114509,126505,7722541
1/1/10,Cowlitz,123739257,14821065,1466306,8810588,303872185,3563758,5352352,2116481,59026143,54994,8557325.333,2576286,17465458.5,14343198,827188,26679657,304405497.5,2084129,1178036,88806999
1/1/10,Douglas,30095890,4771678,186154,7045698,69441555,534658,1371638,642402,19813252,0,2045984.333,84112,7535581,31329077,46077,7042542,119443756,1075320.5,229962,60674853
1/1/10,Ferry,4072585,456799,457902,336020,12075941,53353,91725,142162,3221325,,632747.6667,600542,1454455,386746,0,1054874,9027633,5589.5,0,6785892
1/1/10,Franklin,70792250,15337717,7698424,3933878,150999156,486401,5301000,220833,40080934,396480,6607658,920291,58108655,9128992,748556,37210853,200912973.5,4135631.5,230024,131938970
1/1/10,Garfield,387499,279549,23651,0,4550005,8070,41527,13903,1163856,,203241.3333,724354,488001,199433,28014,806432,3748126.5,82174,51365,7104746
1/1/10,Grant,105527251,21144781,4802907,8024165,206471162,1765354,7238113,2303074,50650439,0,10353377.33,155101,39703151,21344128,169282,27537345,252401256,1820149,3024412,175506330
1/1/10,Grays Harbor,105887024,8723389,2661135,5668751,151490138,465364,3856617,714674,39837251,81900,5592250.667,2578798,10785593,10159053,189427,15931552,181883585,2285500.5,63258,60431073
1/1/10,Island,74427372,21472774,812871,11361820,140681479,1427382,3652215,1513832,41387903,0,5336060,1043309,20676132,11213542,153486,10307267,146178220.5,675894.5,2227336,53066330
1/1/10,Jefferson,46972334,6082479,459960,5676801,60395512,525663,1772787,432255,17120047,0,7640026.333,1096685,14617034,4782398,318566,4673565,59942368.5,568293.5,140410,22477033
1/1/10,King,4982814628,885678757,41699631,480964243,6350640790,80625960,302256934,128160720,1966650667,5916043,277346099.7,14290043,639752621.5,1075538302,13391572,1154376264,7987373228,103700017.5,14059956,2997545098
1/1/10,Kitsap,299643172,58266312,2777863,27728173,404825728,4243635,15145946,15326519,155631620,12889,14956678.67,2528825,48009233.5,40086524,3915017,57553406,814717525.5,3123160,2720614,165887340
1/1/10,Kittitas,84297813,7955091,2806512,14935726,138010807,12739178,5075364,571200,24885356,0,4331879.667,203573,16598888,5298822,75528,15694508,113674411,1622903.5,228349,45761799
1/1/10,Klickitat,12609844,4072635,2228671,1861826,65332319,320804,1618585,209457,11616439,,2806131,280612,5309923,3382676,172594,8190787,25595597,1354788,120632,31818683
1/1/10,Lewis,90539301,10977126,2663886,11898033,123243762,1863932,2969769,720091,45420880,0,10536303.67,2029840,33611096,12473150,186222,16568041,232883392.5,2229976.5,4181118,91226432
1/1/10,Lincoln,4561329,1569135,469726,350630,22864856,39547,376911,549756,5908828,0,627653.6667,240509,6876734,1105877,26066,1386739,13783689,209288,117587,13075882
1/1/10,Mason,47936631,10542759,858739,4490495,112471011,305793,3016085,2695415,28198035,79426,3181001.333,557863,15597873,4399300,167600,7821202,107878174.5,1160836,146402,25619427
1/1/10,Okanogan,48781042,6128015,2353970,4220353,73032988,464377,2609513,605492,21402317,0,3276111.667,226427,17336789,6340970,56012,7483916,113771354.5,1769601,1631220,43561009
1/1/10,Pacific,35008526,2819682,2572477,2582842,35925481,275140,1631505,313977,11577334,0,1539781,1388056,7432049,2020744,51720,2993744,32670474.5,809102.5,39822,16839698
1/1/10,Pend Oreille,7319400,1609886,447366,156306,17698911,58753,603639,152254,6389320,,1138586.667,428430,2328435,2364760,57273,1663415,20250469,40502.5,548854,10027901
1/1/10,Pierce,1037818226,185072945,16316241,108952189,1629052866,17705426,81938474,27271807,504695645,7460866,66246770.67,2866643,186308108,115348823,4731701,262012302,2671113926,18752039,7668411,663100893
1/1/10,San Juan,51577333,13196521,2135420,5786202,115829725,428798,487411,173089,11275679,22220,2223756,159349,8699076,4812994,25560,8307130,47823840.5,2143231.5,381852,14844743
1/1/10,Skagit,182104500,29127729,1576009,18828468,222701683,4010087,8772288,7310960,70089601,6689,15949018,583053,56106852,22774646,330929,38790856,538086645.5,10102923.5,531874,155041823
1/1/10,Skamania,23432580,965337,217036,193509,20286008,42508,518030,22012,5152640,0,297064.3333,0,1249071,582995,3034,1221102,8402451.5,210624,116224,4398589
1/1/10,Snohomish,946314030,169214200,3087369,80748211,1516802758,18414998,57582145,30384315,466156334,64315,55801515.33,4814722,147047274,135177460,3051530,176309394,2521180641,13948698.5,4521737,591084964
1/1/10,Spokane,741655101,134774963,2410042,41949670,792419236,18250455,52617166,26472999,336457374,762671,49133051.33,1089522,102312073,163423750,7768811,156665913,1695193252,10677785,4177401,510495098
1/1/10,Stevens,25401020,4740106,1142084,6262995,49526109,217501,2765995,1219640,20397706,0,2312013,643743,12979772,2131142,58711,4136722,89519551.5,285686.5,156785,20775077
1/1/10,Thurston,269940499,85487004,2802064,21476645,545167699,7758489,18538442,7875402,175062381,68258,19290410.67,3704567,95066995,49195581,4507019,50990783,810432821.5,1379917.5,672065,226472534
1/1/11,Adams,18647416,2358739,848885,684777,64360095,220826,970517,67937,9916903,0,3492475.333,144783,7553284,3841604,116180,4236763,38641824,297932.5,9022,45515745
1/1/11,Asotin,25514450,3187506,37339,1983544,22449132,83140,692270,1506755,9210316,,1261549.667,0,5031666,1807446,22243,8038822,76552305.5,469875,0,15601923
1/1/11,Benton,306881216,75502289,3162677,26965039,413593937,2773251,17614223,6709642,115560017,5376,19261165,785200,87984503,59113863,54265,64019434,748047376.5,1598953.5,3446675,218268442
1/1/11,Chelan,185278386,20720000,2287971,13496114,191126487,2667563,8306719,3243386,46860234,13697,12495598,634764,38553376,26367475,236765,29975032,284520912,2222429,2708322,124487646
1/1/11,Clallam,104014891,12773647,2941732,8234707,133637011,1807303,3458823,2273428,41000582,0,5250118.667,908990,36796108,13187737,145759,11417979,229361347.5,1528898,154306,59213313
1/1/11,Clark,483582773,82979412,20481771,46357003,629133026,10516453,29911914,24115562,273591850,21581,20018617.67,1811892,144676445,64413367,918961,86764502,974452972,8280724,6057689,266437426
1/1/11,Columbia,3057305,650698,137540,297004,9042247,17035,776392,108390,2124891,,530325,10757,2141087,585680,64298,1850661,10916792.5,117522,0,11313661
1/1/11,Cowlitz,125828809,15020748,2105813,8078086,176318031,3889907,4618784,2062713,61173091,43923,7650446,2016087,36778282,16965555,856637,25679498,305056445.5,1818142.5,248949,86205383
1/1/11,Douglas,31641445,4984101,619186,6954530,78589676,170248,1641802,712132,26425748,,2486694.667,27504,9896332,19103614,30155,7889111,136654244.5,999479.5,433469,56047494
1/1/11,Ferry,4183377,535589,232542,325731,10145173,21183,75713,161907,3261644,,717065,2671079,1847553,368033,12113,1235573,9680045,625,0,8635569
1/1/11,Franklin,75209385,15461092,5679267,3858801,140879207,591458,6212483,292363,40758656,0,7974567,795917,70429703,13528878,1697349,38254990,205924344.5,2764863.5,314730,151246046
1/1/11,Garfield,496303,989602,24575,6668,24690080,6104,77675,1313,1300850,0,517190.6667,273306,557590,194938,16785,4002506,6122958.5,114946,0,42993283
1/1/11,Grant,111265214,22526633,5034657,9017367,307682672,1555573,6419986,2276518,51015015,0,10717307.67,169851,44092430,25384519,183834,30715258,267570635.5,1911835,4609373,297280762
1/1/11,Grays Harbor,106882144,10639391,3030983,5528458,217185029,335621,3945565,1061213,39752482,5300,9025740.667,4148347,10580783,11524926,126579,18397465,183735641.5,2595799,40027,58751836
1/1/11,Island,76903163,22120301,819288,11343550,128300822,1394183,3490306,1083806,41982144,0,5376332.333,655648,21828577,11633768,231993,9678502,145342977.5,733014.5,1289142,52756005
1/1/11,Jefferson,46607334,6924659,820299,5718283,63576516,636789,1585878,424866,17617386,0,9226416.667,705582,14392103,4730054,146721,4462374,61891349.5,520573.5,112829,21445035
1/1/11,King,5304050382,947569205,31218856,489828580,6387817386,117912859,296741741,138018898,1947373007,2259237,302449941.7,14761675,692262362.5,1149565199,12321191,1165961304,8352972247,107253274,14651002,3169378248
1/1/11,Kitsap,309517508,62357446,3032574,27239772,395832125,4833084,17309137,17037694,154923080,7826,15255968,1717468,52765605.5,36633371,3492367,54647073,817763811,3244181.5,858234,160623778
1/1/11,Kittitas,86618691,8731567,3004599,17253693,153849860,12628820,4662675,685445,25271350,0,5052743.333,819472,17374211,6612028,98148,11320760,116702165,1821642.5,326809,44733933
1/1/11,Klickitat,12502204,2315663,1974293,2191083,70854789,208933,1301586,235361,11060691,0,2606657.333,170022,5973955,5388732,97541,5871508,27103357.5,1354609.5,778374,24726384
1/1/11,Lewis,91763860,14623024,2479292,13440867,130753608,1676636,2522276,536729,47309703,0,8979758.333,2872854,32162529,13940276,72780,16778506,236022357,1963822.5,4031971,92272575
1/1/11,Lincoln,4961350,1077325,450659,617923,32638038,58388,657647,453783,5735536,0,751271.6667,239483,12712336,1460298,54492,1720393,14939818.5,219441.5,276017,19478284
1/1/11,Mason,48274148,10254691,1156405,4580744,122493650,292564,2763029,2776527,28960354,102075,3035504.667,594296,15015631,4768097,191952,7359956,106266970,1025252.5,149407,27346836
1/1/11,Okanogan,50748274,6128306,1878115,4763494,68856686,846646,2406698,431676,21596413,,3800194,2004168,17430051,6864868,97994,7882001,113638446,1194788.5,1528190,46373347
1/1/11,Pacific,34176711,3976277,1668845,2527116,42634445,233954,1476746,454038,11744383,0,1631425.667,1631481,6741367,1904006,28115,3280102,32670073.5,887757.5,15214,12885868
1/1/11,Pend Oreille,7300346,1772760,671905,152456,25386315,52981,667854,148490,6844778,0,1062217.333,377637,2604730,1448309,10990,2225087,13594427.5,20398,754879,22168759
1/1/11,Pierce,1069275344,188325211,6750052,112712958,1406342276,18354484,76247520,27773536,505097657,830488,66475117.67,2370191,188524550,133772323,3048702,246031977,2747302649,20459423.5,7462972,602965825
1/1/11,San Juan,56205476,11517839,2803571,5807687,104831947,488651,502433,205456,11592024,0,2136622,140587,8738599,4043011,13542,7953720,47525629,2057583,931894,14932224
1/1/11,Skagit,188441795,28248192,1411081,17976064,278982980,3806829,8854756,5567915,71812391,0,14970500,441757,59397308,21127332,389579,37345201,554990093,9829996,574322,173041418
1/1/11,Skamania,24642751,769465,135187,411355,45329691,31857,335695,15771,5388885,,274546,0,1400661,652932,74853,1446201,8192025.5,289330.5,7459,5552023
1/1/11,Snohomish,1008332901,180741492,3370204,81128979,1177119727,18223018,54475892,31600945,471483644,92722,63383720,6498086,296697239,141461533,3223302,162138961,2610854815,14063861,5806891,659620897
1/1/11,Spokane,766049198,139581510,2824223,42258675,850587272,18121373,55631168,27231742,350159557,19947,49521491,810392,203538384,141068957,7550729,147269558,1718635384,9849284,4299541,538114652
1/1/11,Stevens,26040912,3836749,1662581,5938617,43523694,280749,2734519,1173856,21677468,0,2629199.667,272584,13698161,4208494,45798,4216731,91607704,342745,180524,21139766
1/1/11,Thurston,274664409,85501511,2004245,22414347,466379970,8646200,19035531,7235576,185559170,15986,17056233,3193728,96741710,75365648,10534642,47407401,807314172.5,2536599.5,709537,207882097
1/1/12,Adams,18225833,2379413,810057,919763,53676491,301779,844214,150670,9814044,0,1827933.333,349802,8417007,3759740,175025,5036802,40871819.5,495672,42679,50217811
1/1/12,Asotin,26316363,3015199,16788,1916235,23236787,80371,731314,1150081,9414764,,981767.6667,0,4429356,1826488,28330,3962572,78013559,468514.5,0,15010723
1/1/12,Benton,310507580,55268307,14865240,32183588,370008539,1511952,17957968,6997577,111401858,0,17038050.33,366644,80288668,69620797,3503102,58747263,770477873.5,1584264.5,2550308,206183206
1/1/12,Chelan,191235138,20077008,7619185,16515048,199806964,2492380,7905388,3213068,47528011,0,12517886,2836110,37939634,22569276,182540,31762938,286776896,2345311.5,2773573,114821362
1/1/12,Clallam,109807362,13263417,1154481,7267104,105019925,1630282,3812927,3928669,39654398,0,5247006.333,759270,35593595,13122868,203828,12257205,231729674.5,1473712.5,124985,59904617
1/1/12,Clark,510365310,93332543,22077802,50663009,666653632,12321737,33433748,26787864,302452104,301312,21376995,1630184,150939454,61821881,1321735,98485528,1031069138,7191111,5131089,277883787
1/1/12,Columbia,3105370,820454,182178,314938,10902206,44034,183870,137938,2094668,,306191.6667,0,2539691,830433,51593,3167460,8706585,211165,0,26441105
1/1/12,Cowlitz,130302073,19192526,1384734,7834228,155240252,3035101,6199915,2620881,61049585,42710,7219200.667,1580218,38798984,18370061,890372,33979096,319512871.5,2235785,244181,87269526
1/1/12,Douglas,32592328,5500303,627990,7093029,78904317,170183,1470531,975290,22188701,0,3263979,4809,9556314,52529145,247062,7244531,140044087,1146116,51741,57905268
1/1/12,Ferry,4630275,423284,202985,158568,23592630,18208,103858,169281,3364890,0,508735.3333,1527112,1737489,609974,5200,1441465,9997696,0,41011,7651733
1/1/12,Franklin,79003449,18233933,5036063,3915131,148147694,701271,5899325,549235,41205145,0,5764085.667,1272472,28441070,11859320,2100848,38210621,239721639,4969925,178724,145583409
1/1/12,Garfield,499791,245906,50056,0,17838812,5621,65850,11192,1255948,,159687.6667,0,583350,226311,21823,1292176,3860337.5,0,121970,7273741
1/1/12,Grant,110746661,23388920,4611507,10951787,265441028,1424697,7281628,2892452,54794220,0,11006877.33,415444,46419030,20550407,96719,42571432,299928906,2662610,7022410,351387047
1/1/12,Grays Harbor,110571427,10742681,1836739,6003529,111739437,277537,3803883,744158,39534299,0,6467631.667,3040507,10495709,9136099,72772,17031565,184562014,3217113.5,389376,63195607
1/1/12,Island,80732296,23603477,1240788,11766510,121668149,1501444,3983477,1065401,42665478,0,4743615.333,1065740,22066514,12675560,173584,11686942,145133385.5,705995.5,1017679,52083234
1/1/12,Jefferson,48985150,8982899,521369,5573904,61642370,455802,1759327,465532,17897524,0,8696969,709653,14451272,5042482,79034,4408930,62403531.5,618888.5,184220,19901495
1/1/12,King,5708212781,1047917846,33214687,522161581,7372558237,113251394,322177791,146414652,2015641828,2311770,280368590,10025256,721360600,1174533099,12964485,1195901408,8798603067,112940376.5,19071041,3234193399
1/1/12,Kitsap,325154890,62101798,2470448,29550665,410555777,4191545,18854561,19999416,156263201,330359,14211399,1414448,49994196,36611180,3719851,57295556,847920014,3329379,557838,166367269
1/1/12,Kittitas,81921300,16325957,2851276,18136270,135976439,12509493,5559572,1177470,24746708,0,4996876.667,139337,17340458,8060684,202252,27247161,121241462,2050838.5,330685,49495071
1/1/12,Klickitat,13455871,3957058,3526651,2275549,52667220,288618,1332373,255953,10974042,,3075134.333,245010,6913262,3440883,90000,6179453,28126039.5,1836788,106362,23919032
1/1/12,Lewis,96991308,30015923,3444536,12763352,106785714,1612505,2772089,500037,49296143,0,7733578.667,2273673,31764245,13111505,148709,16722096,247408630,2976450.5,1337290,70569972
1/1/12,Lincoln,5053921,1527630,412786,527171,30875182,45664,496435,444704,5893845,0,789101,233533,11404868,996756,25539,2706420,16073879.5,328555,6603,21089567
1/1/12,Mason,49787430,10755890,1106317,4969102,107587846,389430,3282255,2740085,29400385,89567,3118591.333,489459,16580408,6392842,163795,10342007,103629153.5,578031,162349,35568112
1/1/12,Okanogan,53494627,5616346,896935,4994118,67064553,2271272,2985824,400253,23767555,,3697102.333,754155,17738341,8772187,21923,9295533,122206326,1405655.5,1773435,46985222
1/1/12,Pacific,36162275,4163018,442486,2924761,43356563,195563,1375030,456431,11948673,,1517771.667,1723329,7292799,1928854,47099,3439785,32300724.5,803661,17523,12432011
1/1/12,Pend Oreille,7794857,1586641,1049092,156804,31115703,57021,1042124,157172,6854954,,1076269,451254,2701229,1788414,18521,2130836,15420269,29608.5,1328283,35132435
1/1/12,Pierce,1127769146,208543440,7311505,116803248,1485956844,16304240,81529162,27679556,520750463,328908,68702378.33,3743822,194805189.5,139298976,2329145,259186080,2901649877,23469814,5359601,630569059
1/1/12,San Juan,61378067,13295172,938676,6371451,124479666,537399,1068766,198849,11396320,20200,2330340.333,131141,10322914,5639503,12224,8409633,48690762.5,2407711.5,381034,15987500
1/1/12,Skagit,200311589,30923356,1816552,17195984,298906668,3728270,9180325,5521337,72873844,0,16122998.33,1131267,61882681,24658602,766517,41240855,599063980.5,9756531.5,595177,178124024
1/1/12,Skamania,24887478,1020142,238794,415306,33178700,33787,224680,39954,5374158,0,301113.3333,69761,1634407,1421182,57326,1330130,8895352.5,407143,9700,5137151
1/1/12,Snohomish,1082810864,190135042,3878627,85452723,1312561541,16341277,64563146,35978267,468009076,11575,53153408,3727094,306682254,138500026,3440572,182607578,2794862098,15281195.5,6608199,659957697
1/1/12,Spokane,801810167,147400539,2562571,44169289,826874224,15686443,62618923,28473045,348840210,0,49501987.67,1576042,214990064,125475217,8163748,158650465,1798891680,11840589.5,1946659,562701635
1/1/12,Stevens,27742206,3906667,849913,5807155,56172627,321547,2636415,1228487,22020955,,2033224.333,325844,15444051,3758361,88833,5509138,93472452,407611,30199,22033053
1/1/12,Thurston,289650256,69048856,2152786,27158116,457088346,7583597,17119057,8121271,176929799,0,15768557.67,1894420,98106457,86336634,3520979,50227164,823005642.5,2713525,575420,200678178
1/1/13,Adams,19561206,2675695,590567,928768,69485955,115271,1486888,185044,11184999,,2330377.333,0,11441943,2958205,14348,5826179,43390959.5,359281,565310,55141813
1/1/13,Asotin,27503760,3275630,47005,1964815,34491366,226670,952941,1098070,10000782,,1194553.333,0,4390214,2062560,30337,4118147,79932053,415750,0,15422587
1/1/13,Benton,322528751,61232382,2544919,33616497,503434114,1614008,19972256,6729597,120935161,0,20873906.33,292902,93142983,58335662,396573,63075615,813553680.5,1676422,2586903,234249969
1/1/13,Chelan,208326306,21915581,2277247,17730560,244346992,1976733,6213376,2640052,52468847,0,15046481,3478827,19780615,21448101,354613,39786559,308943504,2823577.5,469473,122699241
1/1/13,Clallam,115988405,12427776,1263768,7185669,122953047,1610867,4916259,5509976,43266789,,5635081.333,795672,38458393,10214214,512823,13776062,245316383.5,1423994,156314,59228962
1/1/13,Clark,542804505,97321501,2320504,52179545,808417306,10579760,37464991,26971308,313087311,0,23346748.67,1610811,158801810,63845454,1992267,101858649,1120332756,6346181,5679434,321376292
1/1/13,Columbia,3697326,1399598,107036,236553,39292290,52577,211979,133413,2325354,,383702.3333,0,2853579,627512,0,2927528,6470516,0,279231,9001277
1/1/13,Cowlitz,135271430,17712397,1089859,8474000,241258740,2824641,5164124,2712446,66883153,0,7534215,1668077,39309304,18017703,1031812,26863561,346059892,1601970,438404,92818058
1/1/13,Douglas,35579410,7017045,975678,7239358,142858288,282406,1647781,1051295,21714140,,6132336,36539,14413257,42875638,29654,8776256,162036972,1444854.5,42258,88600951
1/1/13,Ferry,4343050,363664,343017,156497,9152709,23959,129739,79698,3717409,,366781.3333,122624,1425618,483549,2466,970404,9782717.5,0,0,4665006
1/1/13,Franklin,82375620,18210044,2550399,4000973,172288464,767459,4607272,1391224,43415866,,6028885,122466,39357929,12182953,2927825,38808302,258748080.5,4149394.5,0,142831947
1/1/13,Garfield,522670,156694,47050,0,3653267,4411,78335,19491,1349773,,131117.6667,0,495416,455171,34944,1733066,3581713,0,0,6196700
1/1/13,Grant,119157149,24922550,6140720,12240986,396929589,1586598,10310715,2424343,60885427,,16732301.67,381515,65387423,41853127,139782,37849439,325837958,2473259.5,4865146,326041678
1/1/13,Grays Harbor,118264543,10693623,1997930,6389569,107764207,405296,5557963,576237,44128847,,6302512,2044984,22508273,8128971,712189,16822106,190937050.5,2912519.5,154072,66676027
1/1/13,Island,84836271,26201220,1161640,12191761,136311124,1547426,4290050,1102735,46937147,,5836257.667,346891,21973941,12566628,645778,11933877,154251825.5,463542,1924019,52724780
1/1/13,Jefferson,51387998,8506190,308475,5473583,75680074,549140,2106672,1675192,20223721,,8507544.333,880514,15529575,6470216,157593,7059935,65761717,559805.5,1029576,23138398
1/1/13,King,6098185200,1090045425,29293021,570550452,8477101159,117969702,357197315,150171609,2133157350,64868,289173843.7,6199464,1498669473,1265096137,20809558,1276097425,9304460620,115753822.5,21143303,3272863633
1/1/13,Kitsap,329486976,66092895,1864654,32869341,468637667,4041527,21169401,20429255,169370604,0,16223976.33,1639901,104465974,37815024,2642019,58549877,891203641,2242639,592788,164363494
1/1/13,Kittitas,86387932,11572641,2656802,17091662,131600732,12428891,6251913,724456,26710957,0,6265141.667,147157,19174469,8681415,320545,44483812,128426869,1748799.5,508424,58454149
1/1/13,Klickitat,14308677,2262615,1387299,2369723,51890329,262875,1930716,271761,13340562,,3354749,196652,7484387,4981208,88516,4847838,29480705,1488442.5,33099,30504352
1/1/13,Lewis,99804726,32371642,2652598,12517436,119150823,1589588,2569687,497825,54821458,,9975250,2461099,33024178,12666215,252817,18978490,266160414.5,2378942,1046311,80466626
1/1/13,Lincoln,4369589,1330730,299726,472274,32673651,44812,318392,106956,6632344,,850110.6667,627070,13395478,1099927,19496,2556796,16564321,273753.5,583316,17721975
