year,county,Hospitality,Admin Support and Waste Mangmt.,"Ag., Forestry, Fishing, Hunting",Arts and Recreation,Construction,Education,Finance and Insurance,"Health Care, Social Assistance",Information,Management,Manufacturing,Mining,Other Services,"Professional, Scientific, and Technical Services",Public Administration,Real Estate Rental and Leasing,Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
1/1/13,Mason,51218714,8923322,655693,4690771,94892518,655747,3693103,2864751,33584596,0,4035277,621137,18501907,5536531,2282055,11568055,109529667,424691.5,51178,34577391
1/1/13,Okanogan,55075679,5835443,642044,5160884,98861579,948870,8619406,437340,23828387,,3683954.667,0,19047285,5809003,27626,9318849,130826803,1517503.5,2324902,44355062
1/1/13,Pacific,39524720,3694604,393204,2907804,57845044,166544,1859821,366241,13796000,,1857563.667,1839870,7566047,2240990,29082,4158431,34507654.5,737893.5,43791,14532083
1/1/13,Pend Oreille,7597465,1779010,1125453,139428,26165370,80404,1075482,253081,7437795,,982144.3333,174193,3494494,1024888,26309,4101091,16224615.5,79607,924004,44296437
1/1/13,Pierce,1193988347,235074102,4507871,119070417,1807790945,14598161,92725146,28037587,535549345,359762,77033669.67,9808883,414595434,142126912,5782874,271174082,3160618825,23793405.5,5077230,708411036
1/1/13,San Juan,66924465,14103892,206489,7043932,108035477,821252,1073211,246385,13150858,0,2019307.667,0,9634532,4607584,35423,9505249,50625009,1969124,513250,17475457
1/1/13,Skagit,208268126,30871136,3171960,16304117,304154531,3541742,10045140,5143580,78209327,0,18386311,837300,67362145,23282416,939013,46540898,632915355,10023702,640511,181264557
1/1/13,Skamania,31500352,898500,68258,790144,15163873,56554,235399,15589,6017878,,513747,20632,1317962,962496,56701,1346985,9527720.5,360032.5,0,4630185
1/1/13,Snohomish,1136027161,195390593,4993961,90274810,1560272535,15393237,70645177,34571784,496522532,0,56806785.67,1870093,326889711,140890468,4575140,202935681,3006848065,14067802.5,7040724,671514335
1/1/13,Spokane,831986925,148688349,2182297,46045699,941777729,13853189,57170223,28341777,365761360,0,51201238,771441,237584163,121742268,9400223,169162377,1915038138,11304891.5,2914335,577914348
1/1/13,Stevens,28793668,4211817,998091,4385719,52299119,290685,2685140,1457939,24476157,0,2301208.667,310722,17038770,2574939,112369,5734642,97203361,371698.5,180822,25614532
1/1/13,Thurston,307467194,66653358,1910096,27498308,449676044,6932350,18898338,6970158,188451684,0,21130042,1043504,100189514,75319601,6516842,51610106,869769436,2438024.5,616928,223857396
1/1/14,Adams,20255683,2498456,682776,1420318,63218716,148605,1726257,158760,11362139,,2966858,27849,13092735,3363657,46827,6995277,44571189.5,493358.5,688796,59156484
1/1/14,Asotin,28876696,3648085,60352,2147135,30589652,166262,1056417,1221699,11263050,0,1416143.667,0,5002034,2293963,93842,4781160,82200946.5,400157,0,16763047
1/1/14,Benton,341007571,55070584,1522840,34165997,466905211,2195029,19666465,6932949,129157457,0,20517610,55095,98066468,52406015,127277,60624459,850541518,1587713,2630216,248186508
1/1/14,Chelan,223150774,25043805,2353768,17186028,310279767,2110596,6099217,2715344,64193887,0,16805691,852927,44450106,23660235,190274,41573289,320116345,2647941.5,102961,138059503
1/1/14,Clallam,122753977,14374295,1167848,7011278,129294454,1782956,4034974,5758650,49358787,0,5687500.333,598000,39702542,11606516,693994,12183567,247944316.5,1737845,143968,57759758
1/1/14,Clark,590459195,112308049,2494116,54315799,894503508,10569514,42699597,28027553,319004770,50416,27154888,1741971,170687222,72704524,3248197,122802714,1213704429,7254946.5,4873746,330973357
1/1/14,Columbia,4395839,2490131,689313,300231,124330109,23490,119806,128615,2780357,,673285.3333,0,3501121,650872,7166,6795938,7060891,182099.5,174952,167708392
1/1/14,Cowlitz,144720163,16235790,813826,8850272,307118436,2510060,6022560,2166936,72068715,0,7337903.667,2109969,40698890,18050040,773294,31506401,360003388,2077566.5,430560,95227967
1/1/14,Douglas,38228350,8786682,776195,7289791,123314689,299399,1768921,1132538,27507155,0,6335655,147511,11812590,62773649,22842,10611312,173326797.5,1769612,208497,126784922
1/1/14,Ferry,4414202,304725,239050,176283,6452233,37536,142458,76691,3921158,,333983.6667,49177,1807002,503718,19293,791834,10029387.5,0,6141,5758109
1/1/14,Franklin,87612620,25866635,2903119,5254282,196454560,1258787,4973885,875707,44244884,0,7585706,87090,41568801,13692090,1892405,42071106,274401043,3821608,439933,145385550
1/1/14,Garfield,685622,138432,80958,398,3061273,3732,76391,13325,1816753,,218333.3333,0,782754,290873,13113,2523815,3370940,0,0,8506341
1/1/14,Grant,123855961,28694173,5830871,13083809,452555590,2140348,16907600,2437017,70884335,0,12711478,982974,59586772,27563167,89796,45868876,319579915,2681897,7456538,277568490
1/1/14,Grays Harbor,127581979,12039106,1780623,8660232,144849929,492532,4703648,537803,48214908,0,6625477.667,2081187,22703476,8534168,1248876,17807193,200632493.5,2849973.5,98511,67736104
1/1/14,Island,90299109,26847673,1140137,12356383,148838241,1857949,4587340,1153228,50508578,0,6512596.667,277847,23304446,14451199,144640,12803533,162887096,523531.5,1813777,53001967
1/1/14,Jefferson,54017305,8074897,757051,4515272,71165585,397119,2068119,1957013,23713364,,3771209.667,721416,16159950,16732928,1299712,7335574,67500684.5,679239,17796,25600008
1/1/14,King,6611651767,1173973350,29181404,601270648,9568066646,125852816,380685286,167266179,2350086573,125407,316864325,6529737,779672692.5,1461781215,16541141,1429468192,9772236525,122518605.5,20611569,3394051898
1/1/14,Kitsap,351664640,67839609,1833646,34830783,501663920,4407288,21518104,21880947,186362141,16460,17299017,1299574,110039928,43754841,2154349,62219453,940040527,2283854.5,653899,153290625
1/1/14,Kittitas,119751775,12266388,3067955,14675701,158984954,12113874,5113910,689084,28538962,0,7501797,116932,18155254,8582722,391527,16965434,137227845,1948669.5,603612,58242561
1/1/14,Klickitat,14976385,2776246,1456177,2633674,78978056,181137,1867177,300053,14155477,,3328871.667,215437,9166503,5302679,102739,6652304,28938952.5,1645497,37632,39081607
1/1/14,Lewis,107719075,39084363,2499605,12636366,146636709,1742261,2554786,566992,59279601,0,9915145,2556926,33494511,13207375,155319,22176626,280435242.5,2527061.5,1683250,83558273
1/1/14,Lincoln,4608442,1638105,378706,725283,27207235,83806,650208,134635,7270994,,560196.3333,225214,9177577,1678082,14378,2764793,17503600,330209,102796,19151159
1/1/14,Mason,54820882,8958378,938137,5092480,116967387,810592,4130757,3023227,37821345,0,3686771.333,1103855,19446781,5311471,3298615,13085657,113047314.5,426155,134693,36495074
1/1/14,Okanogan,56544948,6700425,1009807,5457952,116107988,623444,12352794,392657,25913858,,3350965.333,0,19409857,6599348,135578,10223603,141021777,1471026,2754319,45299448
1/1/14,Pacific,43399082,3767551,583989,3422922,52497303,191910,1773318,308251,15266549,0,1512281.333,2496907,7702356,2605549,24224,5459671,35529268,1698070,0,14756213
1/1/14,Pend Oreille,7954844,1753970,1048049,160369,33290696,74693,878791,132898,7628552,,900042,791944,2603550,1347468,217658,4636539,19593014.5,2403.5,92758,38090189
1/1/14,Pierce,1276851797,268545753,3702333,118246840,1837360739,16380009,96620956,27886861,629053068,342929,76579225.67,2311705,215132915,154736514,3474700,290054188,3289737902,30568881,5112122,704030339
1/1/14,San Juan,73025555,16325593,448149,6607993,130396010,990934,1066947,278845,16625043,0,3259341.667,193616,8138043,4707865,60439,11597437,55075016.5,2420649,565866,19079140
1/1/14,Skagit,220637169,35912142,4183065,17395154,269067323,3662380,10473685,4794713,86502218,0,21544901.33,692917,73162462,25238317,743179,46300556,658163025.5,10348579.5,856238,170227108
1/1/14,Skamania,33041412,846432,70918,926191,16129468,106759,192865,14729,7113033,0,496678,647771,1466355,1291205,64876,1283073,10326286,343848,0,4900996
1/1/14,Snohomish,1222416372,192287419,4210918,93438001,1484616195,15024627,72262737,37075833,527587987,0,61124071,3842736,173464536.5,162354046,4505438,209927774,3195062901,15318869.5,7243024,710135052
1/1/14,Spokane,884293656,158470845,3509123,49230256,1090757204,12953615,57535318,29655587,393272425,0,62443868.33,879298,246644545,122523741,7712175,192408818,2001754319,10683877,2578320,610143574
1/1/14,Stevens,30044950,4272880,716293,4181801,63493819,325951,2709209,1467608,27565037,0,2339618,41205,18066173,2735266,81140,5937823,100938722.5,373583,251882,27797956
1/1/14,Thurston,325576452,68140576,2069730,28558335,499367572,7566925,20180584,6514355,206757851,1231,18662912.33,761519,104663976,78529158,8315748,53142108,903015704,3149551.5,602223,212384824
1/1/15,Adams,21430423,3601210,803178,1352624,56286935,193479,1690581,155413,10598036,0,2131610,41478,12533780,4661629,104621,7211395,46716174,594351,46221,50275954
1/1/15,Asotin,30472437,3855413,57956,2213533,29442856,303075,1120020,1539520,11614045,0,1400504,0,5215557,2601695,34951,4304976,85205302,474058,0,17348675
1/1/15,Benton,374357934,60479683,1922348,36191091,577734371,2157827,24953007,7986814,141385779,0,19924188.67,160032,96567433,52431702,405903,72965033,918348599,1946161.5,2897111,259717745
1/1/15,Chelan,241084895,25820742,2672922,17126265,393877679,2137574,11708865,3213180,73242413,0,17989121,721353,44295748,28760814,214583,47034527,341933557.5,2662638,1603621,145992905
1/1/15,Clallam,133152805,15771111,1237059,7537239,186176148,1811478,5095806,3955914,51941016,0,6251102,620486,39545284,14359339,878188,13993737,264451165,2135381,92049,59620854
1/1/15,Clark,658842741,126801034,2845925,60783373,1137118129,11480614,53012709,31038809,350325456,118193,28267627.33,2062980,180049943,89041989,1438977,128523589,1348010831,8330977.5,6072275,370185027
1/1/15,Columbia,4109113,2666263,287521,296151,20446364,30569,167610,91626,2747966,,520192.6667,0,3407746,740014,3433,3232316,6457594.5,138025.5,521133,14495418
1/1/15,Cowlitz,156186985,16445312,807304,9641408,201131477,3787728,8575489,2248490,72657656,42596,8896378,2778188,42148805,17035769,902828,31322602,393642562,2435801,328811,96102742
1/1/15,Douglas,40638140,9689641,750470,6445060,103439009,298555,1867164,1254009,30049651,0,3955168,43896,11841450,52915899,196970,14245488,199820322.5,1128780,668291,109148393
1/1/15,Ferry,4693769,237495,201672,164804,8579409,31966,119900,79840,4366018,,373519.6667,0,1917418,857462,734,988635,9875609,0,0,4451739
1/1/15,Franklin,95880774,27440661,2583633,6515252,219703768,853479,5569808,951703,46598264,0,7800020.667,952572,42293109,13934046,3519479,42368048,305789946,3828397.5,82312,163340840
1/1/15,Garfield,687254,135485,63400,5400,2996417,11185,240615,20075,1723002,,189691.3333,0,832818,293602,16261,3661058,2945540.5,0,0,10023554
1/1/15,Grant,130310714,29268753,6119399,13480989,371779646,1679636,9259978,2673637,73575102,0,13770360,1018508,59797789,59226613,398633,49358013,330251516,3428861,6148155,242775044
1/1/15,Grays Harbor,138345617,14597324,1728930,9175481,139310932,442682,5187635,787933,50894839,0,7000015,1915624,22318558,11315204,1691601,18588631,208896940,3138524,49675,68621093
1/1/15,Island,100849299,35024864,1337250,12550052,180318432,2407828,5516531,1179144,54313590,0,6761195.333,169742,24469113,16479553,211116,16502651,173039016.5,539886,1573414,55380067
1/1/15,Jefferson,58276716,9698757,861093,4810206,96331100,471163,2493292,1430336,23720256,0,4443506,540716,17162621,12156087,3837493,8372275,72952453,1324146.5,12591,25518432
1/1/15,King,7257926201,1299344824,16042009,635857011,11752052754,131593360,427527803,184385032,2774732215,1078063,337547362.3,6195604,795855374.5,1601940902,18140667,1656080313,10260323814,136045015,21802670,3707391000
1/1/15,Kitsap,391714430,73746378,1932882,37716385,570368004,4561091,25047271,22587059,205599985,12904,17964875.67,734277,116496301,48744708,2769768,68448798,1017157128,3109432.5,756859,174963316
1/1/15,Kittitas,136183011,12064184,2871519,10114146,213890195,13340690,5625536,952106,30046272,0,5512360,165509,19415786,10747868,188688,16161596,152284238.5,1580543.5,297482,54858133
1/1/15,Klickitat,16383273,2676634,1619260,2549408,87412034,237248,2501216,350530,14083414,0,3788377.333,438204,6749128,6033626,48411,8080428,30287186.5,1809736.5,45477,37908910
1/1/15,Lewis,116580707,38691604,2626897,11210959,157584017,1940955,3084644,636266,58664308,0,11852262.67,3140975,35514308,14421066,173255,22300860,293104382,2667937.5,1981885,85878084
1/1/15,Lincoln,5150651,1413666,411583,707084,31844742,114532,443036,291708,7536243,0,517881.6667,152506,6382722,1527936,83444,3856369,17046586,338093,7641,16818197
1/1/15,Mason,48448698,10684486,1003270,4941839,139708551,817849,4888085,573749,40094257,0,4277504,759929,19780101,7151123,4087977,14401720,126429967.5,478692.5,160082,37268795
1/1/15,Okanogan,59522874,7742785,621460,6901947,100734607,478575,3607887,661532,26224816,0,3937568.667,57346,20942403,6072825,32357,12057192,145013399.5,1576621,2895096,44276484
1/1/15,Pacific,47283516,4184042,2402998,3790454,41657120,245710,2314182,295332,15100192,,1836167.333,5308771,8334219,3107880,41750,5629147,37417232.5,864991.5,0,16263619
1/1/15,Pend Oreille,8349634,1806683,719375,136352,34241166,101022,1049799,129205,7302645,0,1241283.667,3316401,2162092,1061397,188146,3549379,16090061,139590.5,28003,26743870
1/1/15,Pierce,1415354581,262263295,3467371,128219538,2088340415,15672269,116729996,28432226,689388704,529303,74002499.33,2188628,241038972,170610851,2838300,344388173,3529148581,32856302.5,4386223,743383849
1/1/15,San Juan,77897707,16662565,538169,7385892,134890874,1279762,1355385,325412,17412851,0,3064810.333,389868,8456344,5203459,232466,14222251,60245191.5,2601715.5,550319,21031009
1/1/15,Skagit,235655179,37308650,2456668,17903174,314174997,3784566,11335672,4971916,101176023,0,24490183.33,1046695,79913175,29423615,872859,55692564,690393424.5,10231047.5,592549,168748914
1/1/15,Skamania,35770270,1064337,218343,1123985,19160123,153364,166596,16320,7808628,0,821531,80309,1689167,1773281,98755,2131910,11835288,581560.5,0,5474906
1/1/15,Snohomish,1300620418,210239082,4483388,98424492,1751640700,15954214,89471499,41755645,638537172,28096,66275054.33,5285357,185994768.5,190027099,5495290,243838962,3338261934,18015227,7584103,754213291
1/1/15,Spokane,957168982,165044782,4304749,57992733,1106275072,9460265,65855081,31783768,424026077,27678,58625516,741676,131089895,125845369,9187585,197369183,2134762961,12248223,5333695,619550981
1/1/15,Stevens,32507561,4219335,1280885,3566848,55377110,378705,3056445,1644894,27135311,0,3544718,3617,21333836,3155556,64704,7204254,104279113.5,397211,285846,27314236
1/1/15,Thurston,357470215,76462244,2428321,30294091,568255182,9594000,23495831,6543642,231916628,27769,20329833.33,614354,110822517,96008011,10426758,62107596,955826813,2991761.5,775080,220552942
1/1/16,Adams,22172194,3960475,532904,1071458,64212604,195128,2266917,166414,10813291,0,3212292.667,101745,12993949,3844288,60031,8045875,48047094.5,673396.5,1070030,46957816
1/1/16,Asotin,31333835,4089431,76866,2939073,35280001,478125,1380722,1566884,11242455,0,1708252.667,0,4959320,2681333,33425,4813096,89378293.5,392803.5,130036,16670577
1/1/16,Benton,400526414,66400233,1703438,38582219,609382163,3264567,29154951,11659026,145410468,3384,20931941.67,999406,99256669,70722991,260967,68808649,957539391,2330566,2564777,258298462
1/1/16,Chelan,265683092,40991674,2305480,20927800,506169022,2187134,5738725,2969060,72141826,0,16950300.33,766175,48155689,31533232,290194,54929826,371183669.5,3340431,660537,162401074
1/1/16,Clallam,144342043,20588664,1421601,5853536,200928178,2395013,6381273,3928473,52170622,0,7472217.333,648013,40654643,17047519,784134,14567404,282523366,1759004.5,198693,66114766
1/1/16,Clark,712424436,143859599,3360258,65914379,1257283527,14270919,65924352,28186541,345937149,135271,30468822,2426960,190522391,106385877,1350256,143585492,1455118239,8916027,8496450,397147708
1/1/16,Columbia,4325505,2871404,193359,284094,17279771,16338,431551,143408,2620493,,458691,0,3594208,1080167,110428,3365892,6288252.5,93207.5,45360,9929742
1/1/16,Cowlitz,165748870,19615956,1259340,10853868,238423428,2403734,9709678,2182228,73154651,5630,10156809,2911050,46646537,20077670,975145,35913216,412919461,2469730,650664,93086624
1/1/16,Douglas,44449967,11009593,279938,6067009,120473146,281510,2014718,1390519,28192579,0,6725716,45836,12599336,83149483,53656,21764458,215229323.5,1176908,585522,72509641
1/1/16,Ferry,5043533,220148,207681,187235,10114620,37890,179359,62640,4318526,,387454.6667,0,1707696,624643,7412,947907,10382567.5,0,0,4844384
1/1/16,Franklin,100499542,27846032,2872275,7359714,229490941,2011660,9993354,1054311,44985495,0,9967324.667,157593,21287092.5,13259318,2501522,39490527,346182678,4140318,571827,171393151
1/1/16,Garfield,491372,310286,43791,663,3953587,8061,191183,20601,1606933,,172301.3333,0,1233857,362906,13742,2398459,3299120.5,0,109887,11185330
1/1/16,Grant,139179326,37015844,4852858,15696926,332784334,1874095,21330345,2764478,74825669,0,15444165.33,1126932,61044357,56303261,133500,52681523,324032666,3421497.5,6274955,263045323
1/1/16,Grays Harbor,147199374,15511445,1762236,8543879,143776271,539981,6406439,1270061,50325202,0,6683696.333,1952199,23526113,14547667,1785802,20217055,221775279,2928075,87406,73533993
1/1/16,Island,106440828,38168296,1440986,12513779,242116876,1740581,7230513,1174278,53443045,0,8044664.667,233563,26914024,20717172,227620,18505439,189267657,860375,1390830,60028651
1/1/16,Jefferson,61521748,12051592,1026510,5236565,124557370,603550,3316606,1338135,22582742,0,3918561,579470,19335552,11758759,4285817,10336175,77748252,1769232,7417,28562014
1/1/16,King,7777095283,1566359257,18012576,696215500,13581911993,157023652,526810527,206073945,2737538723,820459,363233544.7,7417534,832895307.5,2019344007,18515786,1776619597,10742684133,133370648.5,20210306,3911571681
1/1/16,Kitsap,416264419,78053365,3180793,38919891,660587990,5477299,30329808,22299687,197583397,0,19067165.67,1263731,62143863,60345778,2175527,74023397,1094666448,3157854.5,818515,188113838
1/1/16,Kittitas,151775274,13724436,3655510,20857932,262591677,12794046,6018367,1013399,34074646,0,6452592.667,319496,10396343,14180920,266421,18434848,166009662.5,1844964,709672,60726058
1/1/16,Klickitat,15591064,3946659,1413953,3058934,67946761,330855,2408261,449257,14447978,0,4223341.333,547209,9750173,13653359,154989,8943360,35240092,1948417,48314,33846935
1/1/16,Lewis,124836775,39712619,2710808,15856081,184376934,1968933,3764502,972282,59932325,0,12980637.67,4275013,38413785,17886436,128914,23192937,315524369.5,3443947,2027212,91317217
1/1/16,Lincoln,5520981,1295756,517054,642200,26608277,78394,516577,220164,7330225,0,599000.6667,77203,8034351,1512897,39659,4246810,17507498,386473.5,0,13110342
1/1/16,Mason,50982398,12120142,1295841,4718828,149672258,1113224,5489004,856912,39853638,3780,3696584,1314573,21392988,8305956,4266660,16307405,133965025.5,666932,175904,42214187
1/1/16,Okanogan,64673073,8672303,1495100,7872787,101054917,649553,4159660,468534,25463955,0,3626636.667,0,24029885,7664738,121519,10724396,150628935.5,1721064,2060965,43520749
1/1/16,Pacific,49008241,5152173,1451938,3861902,40925129,228917,2214324,317630,14773355,,1483003,3373723,7854894,3768899,53251,6119730,38296067.5,550136.5,35017,16473389
1/1/16,Pend Oreille,8252861,2327651,399557,133670,45693389,76462,1248443,167285,6995408,,1285773,2439716,2298635,1602708,18860,3100727,17502776,56146,7286,18749757
1/1/16,Pierce,1513114769,271270564,3883281,137848406,2336040662,18416098,135001463,28354608,690399077,541242,76954423.67,4626678,239564943.5,203161644,6855880,374868972,3787655297,34678792.5,4399674,794451881
1/1/16,San Juan,81413894,20816722,449817,7723455,160664513,1247670,1518773,310524,17336495,0,3009631,0,8959351,7257272,90343,14979138,60890231.5,2347283.5,542745,20869907
1/1/16,Skagit,248619891,48687106,3253352,17720736,365084776,3873922,13077216,5597776,99784903,0,26954475.67,1146517,40220044,36141926,604366,47814074,739536229,10576435.5,733413,169226792
1/1/16,Skamania,37456072,2277988,204207,1304754,23243063,120149,436878,14368,6905263,0,1146559.333,17508,1838393,1585196,79286,2674858,13031751.5,510485.5,19947,5396165
1/1/16,Snohomish,1372405063,237595946,5017397,104474536,2032297571,20942690,118602143,43570355,635840362,60062,68289507.67,3245731,192701002.5,218777822,5987120,247365867,3589636067,18200856.5,8836917,756049488
1/1/16,Spokane,1015774036,187747889,4457067,63049190,1268637268,12198748,78361798,32490824,410567075,35398,58809319.67,961687,138122021.5,145297596,9034260,217547644,2266817329,12633477.5,4015617,646085475
1/1/16,Stevens,33744653,5067695,1126234,4505645,72575927,535520,3295016,1692220,27106647,0,3538677,90728,10980913.5,14121492,100500,7823563,108750306,384823,61051,29529267
1/1/16,Thurston,383278944,81902963,2378582,32318762,663392790,9316248,27232423,6737112,229531199,14956,22039937,636719,112895617,111463312,8774923,68814248,1001554018,3404541,753029,235834866
1/1/17,Adams,24278248,5060791,746773,1162840,57789791,282828,3329303,176572,10681850,0,2900611.667,99967,13426558,4592577,28368,9760720,51563913.5,795819.5,285318,48210062
1/1/17,Asotin,31709208,4130029,187856,3077845,31476379,376226,1697976,847189,11671998,0,1734817.333,0,5311628,3833438,163974,4701650,94396293,445594,120272,18617754
1/1/17,Benton,428416637,75758154,2031751,40996851,574971347,3544285,32566865,15028938,138574064,0,21542935,501669,55087451.5,78485858,589768,69585794,991536019.5,2767095.5,2813996,278314224
1/1/17,Chelan,281752524,48402057,1444929,21995119,443302342,1586934,5965421,3636489,74120824,0,18164380.33,377091,49617735,39810223,322338,58584176,382810615.5,4324335.5,1136341,164015843
1/1/17,Clallam,154122124,25804926,2010864,5971780,188191178,2596007,6496862,3779080,51317255,0,7927528,539434,41528737,17136095,805061,16173706,304067146.5,1891247,111403,66661371
1/1/17,Clark,754787450,168137237,3197181,70815911,1537018758,14484930,72927694,30368394,351116670,69044,37603872.33,4443288,104179901,118119248,1488825,153127038,1576385849,9177401,7517340,418034210
1/1/17,Columbia,4391610,2631541,266010,270962,18032608,27921,191440,139473,2730101,,613465,0,3453473,913869,100655,4041130,7638605,297139,0,12835466
1/1/17,Cowlitz,175929005,21310383,817080,10760337,266444009,2508522,11197497,2430838,74350375,0,11510062.33,2492154,25294316,21656560,1102434,37893820,446542535.5,2916246,505500,111990917
1/1/17,Douglas,47630009,11809693,278541,6305282,173201116,281366,2122842,1434369,26163227,0,8008380,16895,12135084,53512210,223955,48066395,212240538.5,1335924.5,516587,87021618
1/1/17,Ferry,5039523,299784,78066,192318,7039385,40412,174406,32311,4562441,,471287,0,1462830,618016,10994,920725,11447807,4472.5,0,5418339
1/1/17,Franklin,113016587,31584680,2985175,7827547,251474571,852465,8978383,1018994,45575810,0,8848729.667,185204,46869453,15681660,3428038,45069400,379817686,5535259,174830,162493205
1/1/17,Garfield,517567,205150,49350,6956,3024112,19149,228821,6711,1787343,,183664.3333,0,1253368,467812,13986,1788476,3645064.5,46153,106847,14930135
1/1/17,Grant,147625690,36630959,4432101,15073294,352913983,1832180,13939768,2963539,79647194,14430,13948336.67,2301756,65790129,62368760,565771,57721239,355299836,3714578,5796141,266855132
1/1/17,Grays Harbor,160945578,16801059,1786886,8935410,158852834,486363,6585888,1007814,50756655,0,8774747,2372187,24513267,13825280,1488324,20958433,233090142,2734806.5,64580,76688955
1/1/17,Island,115187982,41412645,1291455,12969875,311547087,1746761,7534888,1183601,54093050,6614,10044775,450982,26503872,23887488,225139,18176768,206255140.5,704844,1381062,67419707
1/1/17,Jefferson,64149582,13446322,1058438,5328019,120079095,335053,3102735,1395916,21958336,0,4452510.667,848029,17839758,9490921,5171701,9409159,83723006,1433717.5,30414,30970128
1/1/17,King,8285976971,1761982817,15829649,731657723,14685930960,165435909,543632796,215406222,2877267785,2078092,372762479.3,7750355,858071688.5,2133038842,15197666,1845690803,11237030655,146906470,22571272,3998036772
1/1/17,Kitsap,442066913,88971374,3566109,40817306,754538355,6071029,30977161,22718590,199593998,30100,19008715.33,1724985,64889574.5,66547783,2091750,69417786,1158984850,3479816.5,863470,198424755
1/1/17,Kittitas,158441087,15556274,3649920,23096683,306670304,12382835,7252256,1294173,28172883,3652,7920227.667,483676,11598525,14690679,208869,28909022,177269748,2897546,890986,64642160
1/1/17,Klickitat,17138240,4702573,1569335,3000009,77882703,220488,2623841,524095,15933408,0,5084594,940474,8256412,14722463,126186,8493359,39158889,2419476,69571,35236951
1/1/17,Lewis,133502991,45610455,3582058,16534969,209725978,1484606,4610028,1381148,58138088,2278,12846976.33,8842475,40138254,19694765,259460,24777471,333379692.5,4217148.5,2085432,100292968
1/1/17,Lincoln,5981062,1981531,375159,743807,45084382,127332,629126,192891,7185644,0,792489.6667,0,6106882,1827020,18475,4762853,19967072.5,279443,11645,13763804
1/1/17,Mason,52918485,14252812,1518290,4578330,139392902,1343899,6477097,999922,38674221,3195,3782065.667,1267686,22135143,9570504,4501730,16477229,147401923.5,550443.5,297231,44695990
1/1/17,Okanogan,65171650,8916348,1253487,9675231,109798667,502659,2595189,445713,25220020,0,4737064.333,0,20888473,7705490,334406,10091877,156248321.5,1952704.5,2472030,43028353
1/1/17,Pacific,50631628,5393940,504702,4313825,53186409,366067,2350046,633891,14888380,0,1723289,2171895,7819302,4546763,48165,6614062,42311556,486068,65944,18644435
1/1/17,Pend Oreille,9608459,2396885,595613,126581,38321377,72821,1159544,265428,7277508,0,1470207.667,9152042,3638149,1824997,8128,3768284,18582184.5,294757,138499,20743866
1/1/17,Pierce,1614048646,298971656,3958565,142063760,2792001538,18329389,141668459,30210346,715405115,231255,83355510,4930547,251969046.5,221825818,7629955,388775147,4006859263,38352686.5,5118380,850878169
1/1/17,San Juan,86574795,22823122,522485,7579804,172557974,1161468,1844116,343462,17310679,0,3579691.667,119866,10086355,7245162,114154,18831111,67318512,2659717.5,1381029,24385491
1/1/17,Skagit,264671272,53489153,3124868,18861201,400571194,3693737,13451595,5943712,102706169,0,27933662.67,1386053,43071679.5,37661843,739662,53353787,795853450,11379857.5,909068,184804650
1/1/17,Skamania,34671603,2931837,385417,1350645,39228125,340609,366496,22871,6894722,0,1435141,140059,1728308,1730236,69821,2601145,14866036,816927,22484,5909044
1/1/17,Snohomish,1438256992,287908012,5003698,112037807,2287429205,22436983,136411525,45113962,636765398,183884,88384047.67,4033992,200565724.5,243745243,6008288,246924967,3770952853,20450594.5,8371532,779880876
1/1/17,Spokane,1081143865,196190662,4909652,65344984,1555003744,12297359,86545845,32489381,421179964,212561,67060673,1366385,146666138.5,153617029,9081378,241562440,2369100715,16708973.5,4467656,681013903
1/1/17,Stevens,34860227,6842053,881919,5230722,99689060,593122,3440325,1776817,26285694,1615,3691648.667,142953,24386533,10236820,97647,8226225,114926482.5,368883.5,260824,31035890
1/1/17,Thurston,414260268,98280292,2656916,33237939,720973472,9532590,30109583,7101522,228433197,72744,21253163.67,800268,57911868.5,106909536,11787029,69796971,1059751774,3314496.5,1054000,242840675